ICAO	Latitude	Longitude
AYGA	-6.082	145.392
AYLA	0.000	0.000
AYMD	-5.207	145.789
AYMH	-5.826	144.296
AYNZ	-6.570	146.726
AYPY	-9.443	147.220
AYRB	0.000	0.000
AYWK	-3.584	143.669
BGAM	0.000	0.000
BGAS	0.000	0.000
BGAT	0.000	0.000
BGBW	61.161	-45.427
BGCH	0.000	0.000
BGCO	70.739	-22.646
BGDB	0.000	0.000
BGDH	0.000	0.000
BGDU	0.000	0.000
BGEM	0.000	0.000
BGFD	0.000	0.000
BGFH	0.000	0.000
BGGD	0.000	0.000
BGGH	64.191	-51.678
BGGN	0.000	0.000
BGHB	0.000	0.000
BGIS	0.000	0.000
BGIT	0.000	0.000
BGJH	0.000	0.000
BGJN	69.233	-51.067
BGKD	0.000	0.000
BGKK	65.583	-37.150
BGKM	0.000	0.000
BGKT	0.000	0.000
BGMV	0.000	0.000
BGNN	0.000	0.000
BGNS	0.000	0.000
BGOS	0.000	0.000
BGPC	0.000	0.000
BGRS	0.000	0.000
BGSC	0.000	0.000
BGSF	67.017	-50.689
BGSG	0.000	0.000
BGST	0.000	0.000
BGTL	76.531	-68.703
BGTM	0.000	0.000
BGTN	0.000	0.000
BGUM	0.000	0.000
BGUP	0.000	0.000
BIAR	65.660	-18.072
BIBL	0.000	0.000
BIDV	0.000	0.000
BIEG	65.283	-14.401
BIFM	0.000	0.000
BIGR	0.000	0.000
BIHN	64.296	-15.227
BIHU	65.952	-17.426
BIIS	66.058	-23.135
BIKF	63.985	-22.606
BIKP	66.314	-16.461
BIKR	0.000	0.000
BINF	0.000	0.000
BIPA	65.556	-23.965
BIRG	0.000	0.000
BIRK	64.130	-21.941
BISI	66.133	-18.917
BISS	0.000	0.000
BIST	0.000	0.000
BITE	0.000	0.000
BITH	0.000	0.000
BIVM	63.424	-20.279
BIVO	0.000	0.000
BZGD	0.000	0.000
CUAP	0.000	0.000
CUHA	0.000	0.000
CUQC	0.000	0.000
CUUP	0.000	0.000
CWBF	0.000	0.000
CWHJ	0.000	0.000
CWMK	0.000	0.000
CWMN	0.000	0.000
CWOH	0.000	0.000
CWPC	0.000	0.000
CWPO	0.000	0.000
CWVA	0.000	0.000
CYAB	0.000	0.000
CYAJ	0.000	0.000
CYAL	0.000	0.000
CYAM	46.485	-84.509
CYAV	50.056	-97.032
CYAW	44.640	-63.499
CYAY	51.392	-56.084
CYAZ	49.082	-125.772
CYBA	0.000	0.000
CYBB	68.534	-89.808
CYBC	49.132	-68.207
CYBG	48.331	-70.996
CYBK	64.299	-96.078
CYBL	49.951	-125.271
CYBR	49.910	-99.952
CYBT	0.000	0.000
CYCA	0.000	0.000
CYCB	69.108	-105.138
CYCD	49.052	-123.870
CYCG	49.296	-117.632
CYCH	47.008	-65.449
CYCL	47.991	-66.331
CYCO	67.817	-115.144
CYCS	0.000	0.000
CYCT	52.075	-111.445
CYCV	0.000	0.000
CYCW	49.153	-121.939
CYCX	0.000	0.000
CYCY	70.486	-68.517
CYCZ	50.332	-115.874
CYDA	64.043	-139.128
CYDB	61.371	-139.041
CYDC	49.468	-120.512
CYDF	49.211	-57.391
CYDL	58.422	-130.032
CYDN	51.101	-100.052
CYDQ	55.742	-120.182
CYDR	0.000	0.000
CYED	53.667	-113.467
CYEG	53.310	-113.580
CYEK	61.094	-94.071
CYEN	49.210	-102.966
CYEP	0.000	0.000
CYET	53.579	-116.465
CYEU	79.995	-85.813
CYEV	68.304	-133.483
CYFB	63.756	-68.556
CYFC	45.869	-66.532
CYFE	48.746	-69.097
CYFL	0.000	0.000
CYFO	54.678	-101.682
CYFR	61.181	-113.690
CYFS	61.760	-121.237
CYGA	0.000	0.000
CYGK	44.225	-76.597
CYGL	53.625	-77.704
CYGP	48.775	-64.479
CYGQ	49.778	-86.939
CYGR	47.425	-61.778
CYGT	0.000	0.000
CYGW	55.283	-77.767
CYGX	56.350	-94.700
CYGY	0.000	0.000
CYGZ	0.000	0.000
CYHB	52.817	-102.311
CYHD	49.832	-92.744
CYHE	0.000	0.000
CYHI	70.763	-117.806
CYHK	68.636	-95.850
CYHM	43.173	-79.935
CYHO	0.000	0.000
CYHU	45.517	-73.417
CYHY	60.840	-115.783
CYHZ	44.881	-63.509
CYIB	48.774	-91.639
CYIO	72.683	-77.967
CYIV	0.000	0.000
CYJA	0.000	0.000
CYJN	45.294	-73.281
CYJT	48.544	-58.550
CYKA	50.702	-120.442
CYKF	43.459	-80.384
CYKL	54.805	-66.805
CYKY	51.517	-109.181
CYKZ	43.862	-79.370
CYLA	0.000	0.000
CYLC	0.000	0.000
CYLD	47.820	-83.346
CYLJ	54.125	-108.523
CYLL	53.309	-110.072
CYLO	0.000	0.000
CYLT	82.518	-62.281
CYLW	49.956	-119.378
CYLY	0.000	0.000
CYMA	63.617	-135.867
CYMD	0.000	0.000
CYMJ	50.330	-105.559
CYMM	56.653	-111.222
CYMO	51.291	-80.608
CYMR	0.000	0.000
CYMW	46.274	-75.990
CYMX	45.680	-74.039
CYNA	50.190	-61.789
CYND	45.521	-75.564
CYNI	0.000	0.000
CYNM	49.762	-77.803
CYNY	0.000	0.000
CYO	0.000	0.000
CYOC	67.571	-139.839
CYOD	54.405	-110.279
CYOJ	58.621	-117.165
CYOW	45.323	-75.669
CYPA	53.214	-105.673
CYPE	56.227	-117.447
CYPF	0.000	0.000
CYPG	49.903	-98.275
CYPH	0.000	0.000
CYPK	49.216	-122.710
CYPL	51.446	-90.214
CYPN	49.836	-64.289
CYPQ	44.230	-78.363
CYPR	54.286	-130.445
