ICAO,IATA,NOM,TAILLE,PAYS,CITE
NTGA,AAA,Anaa,Mediumairport, French Polynesia,
YARY,AAB,Arrabury,Smallairport, Australia,
HEAR,AAC,El Arish International,Mediumairport, Egypt, El Arish
,AAD,Ad-Dabbah,Closed, Sudan, Ad-Dabbah
DABB,AAE,Rabah Bitat,Mediumairport, Algeria, Annaba
KAAF,AAF,Apalachicola Regional,Smallairport, United States, Apalachicola
SSYA,AAG,Arapoti,Smallairport, Brazil, Arapoti
EDKA,AAH,Aachen-Merzbrück,Smallairport, Germany, Aachen
SWRA,AAI,Arraias,Smallairport, Brazil, Arraias
SMCA,AAJ,Cayana Airstrip,Smallairport, Suriname, Awaradam
NGUK,AAK,Buariki,Smallairport, Kiribati, Buariki
EKYT,AAL,Aalborg,Largeairport, Denmark, Aalborg
FAMD,AAM,Malamala,Mediumairport, South Africa, Malamala
OMAL,AAN,Al Ain International,Mediumairport, United Arab Emirates, Al Ain
SVAN,AAO,Anaco,Mediumairport, Venezuela, Anaco
KAAP,AAP,Andrau Airpark,Closed, United States, Houston
URKA,AAQ,Anapa Vityazevo,Mediumairport, Russia, Anapa
EKAH,AAR,Aarhus,Mediumairport, Denmark, Aarhus
,AAS,Apalapsili,Smallairport, Indonesia, Apalapsili
ZWAT,AAT,Altay Air Base,Mediumairport, China, Altay
NSAU,AAU,Asau,Smallairport, Samoa, Asau
RPMA,AAV,Allah Valley,Mediumairport, Philippines, Surallah
OPAB,AAW,Abbottabad,Smallairport, Pakistan, Abbottabad
SBAX,AAX,Romeu Zema,Smallairport, Brazil, Araxá
OYGD,AAY,Al Ghaidah International,Mediumairport, Yemen,
MGQZ,AAZ,Quezaltenango,Smallairport, Guatemala, Quezaltenango
UNAA,ABA,Abakan,Mediumairport, Russia, Abakan
DNAS,ABB,Asaba International,Mediumairport, Nigeria, Asaba
LEAB,ABC,Albacete-Los Llanos,Mediumairport, Spain, Albacete
OIAA,ABD,Abadan,Mediumairport, Iran, Abadan
KABE,ABE,Lehigh Valley International,Mediumairport, United States, Allentown
NGAB,ABF,Abaiang,Smallairport, Kiribati, Abaiang
YABI,ABG,Abingdon Downs,Smallairport, Australia,
YAPH,ABH,Alpha,Mediumairport, Australia, Alpha
KABI,ABI,Abilene Regional,Mediumairport, United States, Abilene
DIAP,ABJ,Port Bouet,Mediumairport, Côte d'Ivoire, Abidjan
HAKD,ABK,Kabri Dehar,Smallairport, Ethiopia, Kabri Dehar
PAFM,ABL,Ambler,Mediumairport, United States, Ambler
YNPE,ABM,Northern Peninsula,Smallairport, Australia, Bamaga
SMBN,ABN,Albina,Smallairport, Suriname, Albina
,ABO,Aboisso,Closed, Côte d'Ivoire, Aboisso
KABQ,ABQ,Albuquerque International Sunport,Largeairport, United States, Albuquerque
KABR,ABR,Aberdeen Regional,Mediumairport, United States, Aberdeen
HEBL,ABS,Abu Simbel,Mediumairport, Egypt, Abu Simbel
OEBA,ABT,Al Baha,Mediumairport, Saudi Arabia,
WATA,ABU,Haliwen,Smallairport, Indonesia, Atambua-Timor Island
DNAA,ABV,Nnamdi Azikiwe International,Largeairport, Nigeria, Abuja
,ABW,Abau,Closed, Papua New Guinea, Abau
YMAY,ABX,Albury,Mediumairport, Australia, Albury
KABY,ABY,Southwest Georgia Regional,Mediumairport, United States, Albany
EGPD,ABZ,Aberdeen Dyce,Largeairport, United Kingdom, Aberdeen
MMAA,ACA,General Juan N Alvarez International,Largeairport, Mexico, Acapulco
KACB,ACB,Antrim County,Smallairport, United States, Bellaire
DGAA,ACC,Kotoka International,Largeairport, Ghana, Accra
SKAD,ACD,Alcides Fernández,Smallairport, Colombia, Acandí
GCRR,ACE,Lanzarote,Mediumairport, Spain, Lanzarote Island
YBAF,ACF,Brisbane Archerfield,Smallairport, Australia, Brisbane
LSZR,ACH,St Gallen Altenrhein,Mediumairport, Switzerland, Altenrhein
EGJA,ACI,Alderney,Mediumairport, Guernsey, Saint Anne
